year,value,income_level
2008,855,unweighted_n_lt_20k
2009,891,unweighted_n_lt_20k
2010,903,unweighted_n_lt_20k
2011,995,unweighted_n_lt_20k
2012,959,unweighted_n_lt_20k
2013,1031,unweighted_n_lt_20k
2014,1034,unweighted_n_lt_20k
2015,1194,unweighted_n_lt_20k
2016,1108,unweighted_n_lt_20k
2017,1160,unweighted_n_lt_20k
2018,1151,unweighted_n_lt_20k
2008,1219,unweighted_n_20k_50k
2009,1160,unweighted_n_20k_50k
2010,1189,unweighted_n_20k_50k
2011,1091,unweighted_n_20k_50k
2012,1141,unweighted_n_20k_50k
2013,1155,unweighted_n_20k_50k
2014,1258,unweighted_n_20k_50k
2015,1503,unweighted_n_20k_50k
2016,1612,unweighted_n_20k_50k
2017,1799,unweighted_n_20k_50k
2018,1795,unweighted_n_20k_50k
2008,375,unweighted_n_gt_50k
2009,419,unweighted_n_gt_50k
2010,406,unweighted_n_gt_50k
2011,404,unweighted_n_gt_50k
2012,385,unweighted_n_gt_50k
2013,482,unweighted_n_gt_50k
2014,504,unweighted_n_gt_50k
2015,638,unweighted_n_gt_50k
2016,770,unweighted_n_gt_50k
2017,845,unweighted_n_gt_50k
2018,974,unweighted_n_gt_50k
2008,8.69,weighted_percent_lt_20k
2009,9.37,weighted_percent_lt_20k
2010,8.86,weighted_percent_lt_20k
2011,8.98,weighted_percent_lt_20k
2012,9.7,weighted_percent_lt_20k
2013,11.09,weighted_percent_lt_20k
2014,10.21,weighted_percent_lt_20k
2015,11.67,weighted_percent_lt_20k
2016,10.78,weighted_percent_lt_20k
2017,11.85,weighted_percent_lt_20k
2018,11.9,weighted_percent_lt_20k
2008,5.23,weighted_percent_20k_50k
2009,4.65,weighted_percent_20k_50k
2010,5.07,weighted_percent_20k_50k
2011,4.49,weighted_percent_20k_50k
2012,5.03,weighted_percent_20k_50k
2013,4.95,weighted_percent_20k_50k
2014,5.29,weighted_percent_20k_50k
2015,5.61,weighted_percent_20k_50k
2016,6.25,weighted_percent_20k_50k
2017,6.58,weighted_percent_20k_50k
2018,6.71,weighted_percent_20k_50k
2008,3.06,weighted_percent_gt_50k
2009,3.48,weighted_percent_gt_50k
2010,2.97,weighted_percent_gt_50k
2011,3.07,weighted_percent_gt_50k
2012,3.01,weighted_percent_gt_50k
2013,3.47,weighted_percent_gt_50k
2014,3.29,weighted_percent_gt_50k
2015,3.27,weighted_percent_gt_50k
2016,4.26,weighted_percent_gt_50k
2017,4.25,weighted_percent_gt_50k
2018,4.56,weighted_percent_gt_50k